list_view_page_url,prod_url,prod_title, prod_price,prod_rating,attri1,attri2,attri3,attri4,attri5
https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=1,/redmi-10a-sea-blue-64-gb/p/itm755830dd54ae1?pid=MOBGDRGY2TNHJQTW&lid=LSTMOBGDRGY2TNHJQTWS8DINS&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestvalueId_tyy%2F4io&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e0943838-8459-4be4-9edb-f477891d494d.MOBGDRGY2TNHJQTW.SEARCH&ppt=None&ppn=None&ssid=zutu0bxxlc0000001671377347146,"REDMI 10A (Sea Blue, 64 GB)","₹8,234",4.1,4 GB RAM | 64 GB ROM,16.59 cm (6.53 inch) Display,13MP Rear Camera,5000 mAh Battery,12 months
https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=1,/redmi-10a-slate-grey-64-gb/p/itm755830dd54ae1?pid=MOBGHXQY2BT4UFZG&lid=LSTMOBGHXQY2BT4UFZGYCYNLY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e0943838-8459-4be4-9edb-f477891d494d.MOBGHXQY2BT4UFZG.SEARCH&ppt=None&ppn=None&ssid=zutu0bxxlc0000001671377347146,"REDMI 10A (Slate grey, 64 GB)","₹8,241",4.1,4 GB RAM | 64 GB ROM,16.59 cm (6.53 inch) Display,13MP Rear Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories
https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=1,/xiaomi-11i-5g-purple-mist-128-gb/p/itmb0fd5926fb0d5?pid=MOBG9QXPXZTUYDY8&lid=LSTMOBG9QXPXZTUYDY81BBAEL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e0943838-8459-4be4-9edb-f477891d494d.MOBG9QXPXZTUYDY8.SEARCH&ppt=None&ppn=None&ssid=zutu0bxxlc0000001671377347146,"Xiaomi 11i 5G (Purple Mist, 128 GB)","₹26,999",4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ AMOLED Display,108MP Rear Camera | 16MP Front Camera,5160 mAh Li-Polymer Battery,Mediatek Dimensity 920 Processor
https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=1,/xiaomi-11i-5g-stealth-black-128-gb/p/itmf5300d828d19f?pid=MOBG9QXPQ2F8KGQD&lid=LSTMOBG9QXPQ2F8KGQDBEHA2F&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e0943838-8459-4be4-9edb-f477891d494d.MOBG9QXPQ2F8KGQD.SEARCH&ppt=None&ppn=None&ssid=zutu0bxxlc0000001671377347146,"Xiaomi 11i 5G (Stealth Black, 128 GB)","₹26,999",4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ AMOLED Display,108MP Rear Camera | 16MP Front Camera,5160 mAh Li-Polymer Battery,Mediatek Dimensity 920 Processor
https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=1,/redmi-10a-charcoal-black-64-gb/p/itm755830dd54ae1?pid=MOBGHXQYVFTQKBTR&lid=LSTMOBGHXQYVFTQKBTRSHXVEM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e0943838-8459-4be4-9edb-f477891d494d.MOBGHXQYVFTQKBTR.SEARCH&ppt=None&ppn=None&ssid=zutu0bxxlc0000001671377347146,"REDMI 10A (Charcoal Black, 64 GB)","₹8,106",4.1,4 GB RAM | 64 GB ROM,16.59 cm (6.53 inch) Display,13MP Rear Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories
https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=1,/redmi-9a-sport-carbon-black-32-gb/p/itm53bc6ebfe147b?pid=MOBG7CJMHFQJFCX3&lid=LSTMOBG7CJMHFQJFCX3H5BFHZ&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestvalueId_tyy%2F4io&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e0943838-8459-4be4-9edb-f477891d494d.MOBG7CJMHFQJFCX3.SEARCH&ppt=None&ppn=None&ssid=zutu0bxxlc0000001671377347146,"Redmi 9A Sport (Carbon Black, 32 GB)","₹7,037",4.2,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,MediaTek Helio G25 Processor
https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=1,/redmi-9a-sport-metallic-blue-32-gb/p/itm53bc6ebfe147b?pid=MOBG7H8GFGZPYUFH&lid=LSTMOBG7H8GFGZPYUFHCFKT74&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e0943838-8459-4be4-9edb-f477891d494d.MOBG7H8GFGZPYUFH.SEARCH&ppt=None&ppn=None&ssid=zutu0bxxlc0000001671377347146,"Redmi 9A Sport (Metallic Blue, 32 GB)","₹7,182",4.2,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,MediaTek Helio G25 Processor
https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=1,/redmi-10-power-power-black-128-gb/p/itm97f5d2ec83588?pid=MOBGEFTFRBJZKHTT&lid=LSTMOBGEFTFRBJZKHTTJAISEJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e0943838-8459-4be4-9edb-f477891d494d.MOBGEFTFRBJZKHTT.SEARCH&ppt=None&ppn=None&ssid=zutu0bxxlc0000001671377347146,"REDMI 10 Power (Power Black, 128 GB)","₹12,447",4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,6000 mAh Battery,12 months
https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=1,/redmi-10-power-sporty-orange-128-gb/p/itm97f5d2ec83588?pid=MOBGEFTKZJJFZYM2&lid=LSTMOBGEFTKZJJFZYM2XRHZRG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e0943838-8459-4be4-9edb-f477891d494d.MOBGEFTKZJJFZYM2.SEARCH&ppt=None&ppn=None&ssid=zutu0bxxlc0000001671377347146,"REDMI 10 Power (Sporty Orange, 128 GB)","₹12,486",4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,6000 mAh Battery,12 months
https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Mi&page=1,/redmi-10a-slate-grey-32-gb/p/itm755830dd54ae1?pid=MOBGDRGQXGRHUJS2&lid=LSTMOBGDRGQXGRHUJS2A36VLJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=e0943838-8459-4be4-9edb-f477891d494d.MOBGDRGQXGRHUJS2.SEARCH&ppt=None&ppn=None&ssid=zutu0bxxlc0000001671377347146,"REDMI 10A (Slate Grey, 32 GB)","₹7,649",4.1,3 GB RAM | 32 GB ROM,16.59 cm (6.53 inch) Display,13MP Rear Camera,5000 mAh Battery,12 months
